  Fecha    Hora        MW      MVAR       MVA     Ampere     KVolt     
01/01/2010 00:15     15,80      7,13     17,33    711,24      0,00
01/01/2010 00:30     15,63      6,82     17,05    706,06      0,00
01/01/2010 00:45     15,49      6,80     16,91    696,61      0,00
01/01/2010 01:00     15,55      6,81     16,98    698,32      0,00
01/01/2010 01:15     15,50      6,82     16,93    694,93      0,00
01/01/2010 01:30     15,67      6,69     17,03    689,82      0,00
01/01/2010 01:45     15,28      6,65     16,67    683,91      0,00
01/01/2010 02:00     15,35      6,68     16,74    686,29      0,00
01/01/2010 02:15     15,39      6,73     16,80    689,08      0,00
01/01/2010 02:30     15,15      6,77     16,60    676,03      0,00
01/01/2010 02:45     15,09      6,53     16,44    674,29      0,00
01/01/2010 03:00     14,77      6,56     16,16    674,56      0,00
01/01/2010 03:15     14,78      6,54     16,16    661,00      0,00
01/01/2010 03:30     14,56      6,36     15,89    654,55      0,00
01/01/2010 03:45     14,23      6,27     15,55    638,54      0,00
01/01/2010 04:00     14,08      6,25     15,40    635,61      0,00
01/01/2010 04:15     13,87      6,10     15,15    625,15      0,00
01/01/2010 04:30     13,76      6,08     15,04    620,49      0,00
01/01/2010 04:45     13,61      6,06     14,90    612,99      0,00
01/01/2010 05:00     13,38      5,99     14,66    604,74      0,00
01/01/2010 05:15     13,34      5,99     14,62    602,83      0,00
01/01/2010 05:30     13,38      6,09     14,70    604,39      0,00
01/01/2010 05:45     13,31      6,04     14,61    601,14      0,00
01/01/2010 06:00     12,93      6,03     14,27    562,98      0,00
01/01/2010 06:15     11,90      5,87     13,27    526,26      0,00
01/01/2010 06:30     11,41      5,63     12,72    508,06      0,00
01/01/2010 06:45     11,29      5,57     12,59    509,35      0,00
01/01/2010 07:00     11,12      5,46     12,38    504,19      0,00
01/01/2010 07:15     10,98      5,12     12,11    499,18      0,00
01/01/2010 07:30     11,23      5,34     12,44    509,25      0,00
01/01/2010 07:45     11,03      5,28     12,23    488,27      0,00
01/01/2010 08:00     10,89      5,22     12,08    493,88      0,00
01/01/2010 08:15     10,66      5,16     11,84    487,30      0,00
01/01/2010 08:30     10,60      5,23     11,82    481,80      0,00
01/01/2010 08:45     10,32      4,83     11,39    465,66      0,00
01/01/2010 09:00     10,17      4,77     11,23    460,23      0,00
01/01/2010 09:15     10,19      4,77     11,26    461,20      0,00
01/01/2010 09:30     10,35      4,82     11,42    469,85      0,00
01/01/2010 09:45     10,50      4,98     11,62    464,92      0,00
01/01/2010 10:00     10,43      5,03     11,58    472,48      0,00
01/01/2010 10:15     10,41      5,02     11,56    471,09      0,00
01/01/2010 10:30     10,47      5,14     11,67    472,11      0,00
01/01/2010 10:45     10,43      5,06     11,59    476,05      0,00
01/01/2010 11:00     10,52      5,12     11,70    486,49      0,00
01/01/2010 11:15     10,73      5,35     11,99    497,33      0,00
01/01/2010 11:30     10,82      5,24     12,02    488,75      0,00
01/01/2010 11:45     10,98      5,32     12,21    497,85      0,00
01/01/2010 12:00     10,99      5,24     12,18    498,19      0,00
01/01/2010 12:15     11,25      5,38     12,47    507,64      0,00
01/01/2010 12:30     11,26      5,34     12,46    511,53      0,00
01/01/2010 12:45     11,25      5,22     12,40    518,99      0,00
01/01/2010 13:00     11,40      5,63     12,71    504,98      0,00
01/01/2010 13:15     11,04      5,51     12,34    512,34      0,00
01/01/2010 13:30     10,73      5,13     11,89    485,62      0,00
01/01/2010 13:45     10,83      5,15     11,99    479,49      0,00
01/01/2010 14:00     10,76      5,08     11,89    486,48      0,00
01/01/2010 14:15     10,91      5,23     12,09    491,54      0,00
01/01/2010 14:30     10,97      5,41     12,23    495,43      0,00
01/01/2010 14:45     11,22      5,33     12,42    506,44      0,00
01/01/2010 15:00     11,44      5,39     12,65    517,45      0,00
01/01/2010 15:15     11,60      5,67     12,91    525,26      0,00
01/01/2010 15:30     11,66      5,50     12,89    539,89      0,00
01/01/2010 15:45     11,96      5,75     13,27    549,68      0,00
01/01/2010 16:00     12,14      5,78     13,44    559,70      0,00
01/01/2010 16:15     12,42      5,97     13,78    559,68      0,00
01/01/2010 16:30     12,46      5,92     13,79    564,14      0,00
