  Fecha    Hora        MW      MVAR       MVA     Ampere     KVolt     
01/01/2018 00:15     16,05      4,58     16,69    682,42      0,00
01/01/2018 00:30     16,02      4,59     16,67    682,64      0,00
01/01/2018 00:45     15,95      4,44     16,55    678,45      0,00
01/01/2018 01:00     15,85      4,45     16,46    672,53      0,00
01/01/2018 01:15     15,78      4,39     16,38    672,28      0,00
01/01/2018 01:30     15,89      4,74     16,59    671,59      0,00
01/01/2018 01:45     15,85      4,64     16,52    667,74      0,00
01/01/2018 02:00     15,57      4,28     16,15    659,09      0,00
01/01/2018 02:15     15,52      4,19     16,07    657,23      0,00
01/01/2018 02:30     15,41      4,27     15,99    650,39      0,00
01/01/2018 02:45     15,32      4,31     15,92    648,70      0,00
01/01/2018 03:00     15,19      4,33     15,79    643,24      0,00
01/01/2018 03:15     15,09      4,30     15,69    639,10      0,00
01/01/2018 03:30     14,84      4,28     15,45    629,68      0,00
01/01/2018 03:45     14,83      4,24     15,42    627,00      0,00
01/01/2018 04:00     14,63      4,11     15,19    617,48      0,00
01/01/2018 04:15     14,52      4,02     15,07    613,09      0,00
01/01/2018 04:30     14,36      4,11     14,94    607,34      0,00
01/01/2018 04:45     14,34      4,08     14,91    605,65      0,00
01/01/2018 05:00     14,22      3,99     14,77    598,81      0,00
01/01/2018 05:15     14,31      4,25     14,93    603,37      0,00
01/01/2018 05:30     14,18      4,22     14,80    594,64      0,00
01/01/2018 05:45     13,98      3,87     14,50    589,01      0,00
01/01/2018 06:00     13,99      4,01     14,56    587,63      0,00
01/01/2018 06:15     13,42      3,89     13,97    565,11      0,00
01/01/2018 06:30     12,89      4,24     13,57    539,60      0,00
01/01/2018 06:45     12,53      3,74     13,07    525,51      0,00
01/01/2018 07:00     11,78      3,62     12,32    490,10      0,00
01/01/2018 07:15     11,88      3,69     12,44    493,40      0,00
01/01/2018 07:30     11,83      3,89     12,45    492,90      0,00
01/01/2018 07:45     11,86      3,92     12,49    494,77      0,00
01/01/2018 08:00     11,81      3,60     12,35    492,41      0,00
01/01/2018 08:15     11,59      3,42     12,08    483,98      0,00
01/01/2018 08:30     11,65      3,44     12,15    484,97      0,00
01/01/2018 08:45     11,55      3,21     11,99    483,58      0,00
01/01/2018 09:00     11,76      3,34     12,23    495,88      0,00
