  Fecha    Hora        MW      MVAR       MVA     Ampere     KVolt     
01/01/2012 00:15      6,01     -0,49      6,03    257,98      0,00
01/01/2012 00:30      6,13      0,04      6,13    266,51      0,00
01/01/2012 00:45     -5,92     -2,23      6,33    258,67      0,00
01/01/2012 01:00     -8,95     -1,26      9,04    375,71      0,00
01/01/2012 01:15     -9,07     -1,42      9,18    377,59      0,00
01/01/2012 01:30     -9,11     -1,40      9,21    379,18      0,00
01/01/2012 01:45     -9,10     -1,25      9,19    383,44      0,00
01/01/2012 02:00     -9,05     -1,26      9,13    379,77      0,00
01/01/2012 02:15     -9,10     -1,22      9,18    381,16      0,00
01/01/2012 02:30     -9,22     -1,44      9,34    391,28      0,00
01/01/2012 02:45     -9,28     -1,38      9,38    387,11      0,00
01/01/2012 03:00     -9,32     -1,33      9,41    389,30      0,00
01/01/2012 03:15     -9,30     -1,35      9,39    387,71      0,00
01/01/2012 03:30     -9,20     -1,21      9,28    386,02      0,00
01/01/2012 03:45     -9,17     -1,15      9,24    384,44      0,00
01/01/2012 04:00     -9,10     -1,10      9,16    381,86      0,00
01/01/2012 04:15     -8,97     -1,16      9,05    382,95      0,00
01/01/2012 04:30     -8,92     -1,09      8,98    374,72      0,00
01/01/2012 04:45     -8,96     -1,27      9,05    373,62      0,00
01/01/2012 05:00     -8,96     -1,25      9,04    375,81      0,00
01/01/2012 05:15     -8,79     -1,19      8,87    372,93      0,00
01/01/2012 05:30     -8,75     -1,14      8,83    369,56      0,00
01/01/2012 05:45     -8,69     -1,15      8,77    365,49      0,00
01/01/2012 06:00     -8,19     -0,97      8,24    342,98      0,00
01/01/2012 06:15     -8,19     -0,97      8,24    342,98      0,00
01/01/2012 06:30     -8,19     -0,97      8,24    342,98      0,00
01/01/2012 06:45     -8,19     -0,97      8,24    342,98      0,00
01/01/2012 07:00     -8,19     -0,97      8,24    342,98      0,00
01/01/2012 07:15     -8,19     -0,97      8,24    342,98      0,00
01/01/2012 07:30     -7,19     -0,70      7,22    302,61      0,00
01/01/2012 07:45     -7,21     -0,66      7,24    301,62      0,00
01/01/2012 08:00     -7,20     -0,65      7,23    299,83      0,00
01/01/2012 08:15     -7,29     -0,70      7,32    306,68      0,00
01/01/2012 08:30     -7,35     -0,73      7,39    313,32      0,00
01/01/2012 08:45     -7,38     -0,72      7,41    309,55      0,00
01/01/2012 09:00     -7,41     -0,66      7,44    310,94      0,00
01/01/2012 09:15     -7,56     -0,84      7,60    319,97      0,00
01/01/2012 09:30     -7,70     -0,89      7,75    321,06      0,00
01/01/2012 09:45     -7,67     -0,86      7,72    319,77      0,00
01/01/2012 10:00     -7,77     -0,89      7,82    331,57      0,00
01/01/2012 10:15     -7,97     -0,90      8,02    332,36      0,00
01/01/2012 10:30     -8,10     -0,97      8,16    339,41      0,00
01/01/2012 10:45     -8,13     -0,95      8,18    340,40      0,00
01/01/2012 11:00     -8,36     -1,14      8,44    354,98      0,00
01/01/2012 11:15     -8,57     -1,12      8,65    360,53      0,00
01/01/2012 11:30     -8,62     -1,11      8,69    368,07      0,00
01/01/2012 11:45     -8,72     -1,25      8,81    364,00      0,00
01/01/2012 12:00     -9,02     -1,19      9,10    381,56      0,00
01/01/2012 12:15     -9,23     -1,30      9,32    388,90      0,00
01/01/2012 12:30     -9,33     -1,28      9,42    392,57      0,00
01/01/2012 12:45     -9,62     -1,36      9,72    403,38      0,00
